timestamp,name,weight,truck,width,height,area,estimated_weight_kg
15.95,Jeep Grand Cherokee,2154.0,False,363.3,117.7,29457.5,2356.6
30.99,Chevrolet Malibu,1534.0,False,339.0,94.7,22962.8,1837.0
53.86,Hyundai Sonata,1510.0,False,249.0,76.5,14780.8,1182.5
63.72,Jeep Cherokee,1715.0,False,324.8,109.0,19231.0,1538.5
84.38,Hyundai Santa Fe,1765.0,False,113.0,43.2,39840.4,3187.2
106.42,Ford Focus,1315.0,False,328.7,100.0,22187.3,1775.0
162.15,Chevrolet Traverse,2010.0,False,368.5,118.0,24698.1,1975.8
172.86,Nissan Rogue,1565.0,False,339.0,119.0,26243.4,2099.5
192.76,Hyundai Elantra,1250.0,False,316.5,96.5,21118.9,1689.5
